Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Density,Forested Area
Russian Federation,Praskoveya,51.00,Moderate,1.00,Good,36.00,Good,0.00,Good,51.00,Moderate,9.00,0.50
Russian Federation,Pyatigorsk,54.00,Moderate,1.00,Good,41.00,Good,1.00,Good,54.00,Moderate,9.00,0.50
Russian Federation,Polevskoy,31.00,Good,1.00,Good,31.00,Good,0.00,Good,17.00,Good,9.00,0.50
Russian Federation,Dalnegorsk,29.00,Good,0.00,Good,29.00,Good,0.00,Good,25.00,Good,9.00,0.50
Russian Federation,Gukovo,38.00,Good,1.00,Good,38.00,Good,0.00,Good,13.00,Good,9.00,0.50
Russian Federation,Izberbash,51.00,Moderate,1.00,Good,38.00,Good,0.00,Good,51.00,Moderate,9.00,0.50
Russian Federation,Tyukalinsk,34.00,Good,1.00,Good,34.00,Good,0.00,Good,32.00,Good,9.00,0.50
Russian Federation,Taldom,46.00,Good,1.00,Good,27.00,Good,1.00,Good,46.00,Good,9.00,0.50
Russian Federation,Zmeinogorsk,35.00,Good,1.00,Good,35.00,Good,0.00,Good,21.00,Good,9.00,0.50
Russian Federation,Alagir,50.00,Good,1.00,Good,36.00,Good,1.00,Good,50.00,Good,9.00,0.50
Russian Federation,Arkadak,28.00,Good,1.00,Good,28.00,Good,1.00,Good,15.00,Good,9.00,0.50
Russian Federation,Arsk,28.00,Good,1.00,Good,28.00,Good,1.00,Good,19.00,Good,9.00,0.50
Russian Federation,Cherepanovo,38.00,Good,1.00,Good,38.00,Good,0.00,Good,35.00,Good,9.00,0.50
Russian Federation,Cherkessk,49.00,Good,1.00,Good,40.00,Good,0.00,Good,49.00,Good,9.00,0.50
Russian Federation,Bezhetsk,24.00,Good,0.00,Good,24.00,Good,0.00,Good,24.00,Good,9.00,0.50
Russian Federation,Baksan,48.00,Good,1.00,Good,39.00,Good,1.00,Good,48.00,Good,9.00,0.50
Russian Federation,Rostov,32.00,Good,1.00,Good,32.00,Good,0.00,Good,26.00,Good,9.00,0.50
Russian Federation,Reutov,58.00,Moderate,1.00,Good,25.00,Good,9.00,Good,58.00,Moderate,9.00,0.50
Russian Federation,Desnogorsk,34.00,Good,1.00,Good,34.00,Good,0.00,Good,10.00,Good,9.00,0.50
Russian Federation,Khimki,40.00,Good,1.00,Good,30.00,Good,8.00,Good,40.00,Good,9.00,0.50
Russian Federation,Kola,30.00,Good,1.00,Good,30.00,Good,0.00,Good,10.00,Good,9.00,0.50
Russian Federation,Kotelnikovo,39.00,Good,1.00,Good,39.00,Good,0.00,Good,20.00,Good,9.00,0.50
Russian Federation,Krasnovishersk,29.00,Good,1.00,Good,28.00,Good,0.00,Good,29.00,Good,9.00,0.50
Russian Federation,Krasnyy Yar,34.00,Good,1.00,Good,34.00,Good,1.00,Good,24.00,Good,9.00,0.50
Russian Federation,Kulebaki,48.00,Good,1.00,Good,33.00,Good,1.00,Good,48.00,Good,9.00,0.50
Russian Federation,Kalyazin,24.00,Good,1.00,Good,24.00,Good,0.00,Good,19.00,Good,9.00,0.50
Russian Federation,Nizhniye Sergi,37.00,Good,1.00,Good,35.00,Good,0.00,Good,37.00,Good,9.00,0.50
Russian Federation,Karabash,36.00,Good,1.00,Good,36.00,Good,0.00,Good,33.00,Good,9.00,0.50
Russian Federation,Lyudinovo,70.00,Moderate,1.00,Good,23.00,Good,2.00,Good,70.00,Moderate,9.00,0.50
Russian Federation,Kotelnich,33.00,Good,1.00,Good,33.00,Good,0.00,Good,10.00,Good,9.00,0.50
Russian Federation,Krasnodar,44.00,Good,1.00,Good,44.00,Good,4.00,Good,31.00,Good,9.00,0.50
Russian Federation,Krasnogorsk,61.00,Moderate,1.00,Good,24.00,Good,10.00,Good,61.00,Moderate,9.00,0.50
Russian Federation,Krasnokamsk,25.00,Good,1.00,Good,25.00,Good,0.00,Good,19.00,Good,9.00,0.50
Russian Federation,Kurtamysh,31.00,Good,1.00,Good,31.00,Good,0.00,Good,31.00,Good,9.00,0.50
Russian Federation,Mikhaylovka,43.00,Good,1.00,Good,31.00,Good,0.00,Good,43.00,Good,9.00,0.50
Russian Federation,Nikel,32.00,Good,1.00,Good,32.00,Good,0.00,Good,9.00,Good,9.00,0.50
Russian Federation,Nizhniy Lomov,51.00,Moderate,0.00,Good,31.00,Good,0.00,Good,51.00,Moderate,9.00,0.50
Russian Federation,Privolzhsk,32.00,Good,1.00,Good,32.00,Good,1.00,Good,29.00,Good,9.00,0.50
Russian Federation,Onega,35.00,Good,1.00,Good,35.00,Good,0.00,Good,16.00,Good,9.00,0.50
Russian Federation,Pavlovo,34.00,Good,1.00,Good,34.00,Good,0.00,Good,28.00,Good,9.00,0.50
Russian Federation,Petushki,49.00,Good,1.00,Good,28.00,Good,6.00,Good,49.00,Good,9.00,0.50
Russian Federation,Dyurtyuli,37.00,Good,1.00,Good,26.00,Good,0.00,Good,37.00,Good,9.00,0.50
Russian Federation,Kimry,35.00,Good,1.00,Good,35.00,Good,0.00,Good,15.00,Good,9.00,0.50
Russian Federation,Krasnogvardeyskoye,48.00,Good,1.00,Good,48.00,Good,0.00,Good,19.00,Good,9.00,0.50
Russian Federation,Kudymkar,43.00,Good,1.00,Good,39.00,Good,0.00,Good,43.00,Good,9.00,0.50
Russian Federation,Salekhard,19.00,Good,1.00,Good,19.00,Good,0.00,Good,11.00,Good,9.00,0.50
Russian Federation,Mogocha,31.00,Good,1.00,Good,31.00,Good,0.00,Good,20.00,Good,9.00,0.50
Russian Federation,Novouralsk,30.00,Good,1.00,Good,30.00,Good,0.00,Good,27.00,Good,9.00,0.50
Russian Federation,Nurlat,49.00,Good,1.00,Good,28.00,Good,0.00,Good,49.00,Good,9.00,0.50
Russian Federation,Blagodarnyy,40.00,Good,1.00,Good,40.00,Good,0.00,Good,25.00,Good,9.00,0.50
Russian Federation,Buy,21.00,Good,1.00,Good,21.00,Good,0.00,Good,18.00,Good,9.00,0.50
Russian Federation,Divnoye,39.00,Good,1.00,Good,39.00,Good,0.00,Good,24.00,Good,9.00,0.50
Russian Federation,Chegem Vtoroy,50.00,Good,1.00,Good,25.00,Good,4.00,Good,50.00,Good,9.00,0.50
Russian Federation,Chernigovka,35.00,Good,1.00,Good,35.00,Good,0.00,Good,29.00,Good,9.00,0.50
Russian Federation,Belaya Kholunitsa,29.00,Good,1.00,Good,27.00,Good,1.00,Good,29.00,Good,9.00,0.50
Russian Federation,Belorechensk,47.00,Good,1.00,Good,47.00,Good,1.00,Good,30.00,Good,9.00,0.50
Russian Federation,Birsk,41.00,Good,1.00,Good,41.00,Good,0.00,Good,7.00,Good,9.00,0.50
Russian Federation,Bolotnoye,43.00,Good,1.00,Good,16.00,Good,3.00,Good,43.00,Good,9.00,0.50
Russian Federation,Chudovo,29.00,Good,1.00,Good,29.00,Good,0.00,Good,8.00,Good,9.00,0.50
Russian Federation,Abaza,30.00,Good,1.00,Good,30.00,Good,0.00,Good,15.00,Good,9.00,0.50
Russian Federation,Agidel,41.00,Good,1.00,Good,41.00,Good,0.00,Good,18.00,Good,9.00,0.50
Russian Federation,Avtury,59.00,Moderate,1.00,Good,46.00,Good,1.00,Good,59.00,Moderate,9.00,0.50
Russian Federation,Partizansk,33.00,Good,1.00,Good,33.00,Good,0.00,Good,20.00,Good,9.00,0.50
Russian Federation,Petrovsk,32.00,Good,1.00,Good,32.00,Good,0.00,Good,6.00,Good,9.00,0.50
Russian Federation,Porkhov,30.00,Good,1.00,Good,30.00,Good,1.00,Good,22.00,Good,9.00,0.50
Russian Federation,Abakan,57.00,Moderate,1.00,Good,43.00,Good,0.00,Good,57.00,Moderate,9.00,0.50
Russian Federation,Sim,31.00,Good,1.00,Good,31.00,Good,0.00,Good,31.00,Good,9.00,0.50
Russian Federation,Vnukovo,52.00,Moderate,1.00,Good,24.00,Good,5.00,Good,52.00,Moderate,9.00,0.50
Russian Federation,Volzhsk,62.00,Moderate,1.00,Good,36.00,Good,0.00,Good,62.00,Moderate,9.00,0.50
Russian Federation,Baltiysk,33.00,Good,0.00,Good,33.00,Good,0.00,Good,30.00,Good,9.00,0.50
Russian Federation,Bogdanovich,54.00,Moderate,1.00,Good,33.00,Good,2.00,Good,54.00,Moderate,9.00,0.50
Russian Federation,Boguchany,38.00,Good,1.00,Good,30.00,Good,0.00,Good,38.00,Good,9.00,0.50
Russian Federation,Tutayev,35.00,Good,1.00,Good,28.00,Good,2.00,Good,35.00,Good,9.00,0.50
Russian Federation,Vichuga,52.00,Moderate,1.00,Good,25.00,Good,5.00,Good,52.00,Moderate,9.00,0.50
Russian Federation,Beloretsk,37.00,Good,1.00,Good,37.00,Good,0.00,Good,34.00,Good,9.00,0.50
Russian Federation,Sosenskiy,34.00,Good,1.00,Good,34.00,Good,0.00,Good,34.00,Good,9.00,0.50
Russian Federation,Staraya Russa,31.00,Good,1.00,Good,31.00,Good,0.00,Good,20.00,Good,9.00,0.50
Russian Federation,Usinsk,32.00,Good,1.00,Good,31.00,Good,0.00,Good,32.00,Good,9.00,0.50
Russian Federation,Uyar,32.00,Good,1.00,Good,32.00,Good,0.00,Good,15.00,Good,9.00,0.50
Russian Federation,Osa,35.00,Good,1.00,Good,35.00,Good,0.00,Good,32.00,Good,9.00,0.50
